host_id,ts,cpu_usage_pct,cpu_ready_pct,mem_usage_pct,network_latency_ms,component_count_pct
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:04:00,24.37,1.84,40.08,0.3,31.19
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:04:00,22.87,1.31,43.46,0.52,32.55
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:04:00,17.02,1.57,43.51,0.79,36.58
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:04:00,22.51,2.18,42.5,0.54,33.96
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:04:00,21.33,0.07,43.09,0.67,34.28
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:04:00,20.94,1.59,46.21,0.64,33.98
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:04:00,21.31,1.33,40.24,0.62,35.12
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:04:00,28.62,1.94,44.84,0.53,36.34
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:04:00,19.67,1.56,43.61,0.52,39.0
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:04:00,24.79,0.23,43.88,0.58,35.0
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:04:00,24.48,1.6,38.7,0.46,36.55
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:06:00,23.33,0.8,46.27,0.76,49.83
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:06:00,20.69,2.1,42.46,0.71,34.63
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:06:00,24.89,1.3,44.28,0.61,36.66
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:06:00,25.06,1.3,41.03,0.5,33.52
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:06:00,20.08,1.89,42.65,0.87,39.56
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:06:00,23.11,0.44,41.99,0.63,32.02
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:06:00,22.29,1.54,41.83,0.52,33.48
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:06:00,28.4,1.27,41.09,0.58,36.91
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:06:00,20.98,1.66,44.2,0.75,37.8
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:06:00,21.39,2.05,41.16,0.58,37.39
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:06:00,25.51,1.37,40.37,0.72,33.74
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:06:00,20.27,0.98,43.24,0.32,35.72
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:06:00,23.56,1.02,44.82,0.73,33.79
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:06:00,21.03,1.78,39.72,0.59,33.74
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:06:00,23.25,1.49,42.82,0.81,35.46
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:06:00,22.09,0.64,44.19,0.72,37.9
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:08:00,19.69,2.15,40.74,0.52,50.13
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:08:00,27.27,1.44,40.31,0.55,33.85
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:08:00,25.17,1.59,42.48,0.77,33.94
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:08:00,22.58,1.47,45.78,0.62,34.3
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:08:00,19.85,1.77,41.55,0.69,31.2
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:08:00,26.12,0.56,41.17,0.8,32.33
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:08:00,22.75,1.41,40.73,0.84,38.0
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:08:00,17.08,0.49,44.34,0.44,34.22
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:08:00,23.38,1.78,42.28,0.65,33.45
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:08:00,26.87,1.07,43.4,0.56,35.21
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:08:00,22.49,1.27,40.7,0.76,37.83
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:08:00,23.72,1.8,44.4,0.78,35.61
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:08:00,23.63,1.88,42.86,0.49,35.05
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:08:00,17.33,1.36,43.55,0.82,35.3
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:08:00,25.78,1.36,40.68,0.42,33.06
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:08:00,18.89,1.74,42.31,0.72,35.15
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:10:00,19.66,2.61,46.66,0.66,49.8
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:10:00,24.2,0.81,42.63,0.8,31.99
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:10:00,28.96,2.3,40.22,0.42,34.43
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:10:00,19.85,1.2,37.54,0.6,38.61
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:10:00,19.6,1.2,39.72,0.73,34.55
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:10:00,28.77,1.48,41.95,0.72,33.99
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:10:00,18.93,1.54,42.35,0.66,35.75
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:10:00,21.42,1.61,46.17,0.47,38.47
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:10:00,22.22,0.9,47.55,0.66,37.74
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:10:00,25.4,0.35,42.94,0.56,32.32
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:10:00,17.63,1.42,43.88,0.69,34.39
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:10:00,20.55,0.77,41.59,0.48,34.59
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:10:00,22.88,0.82,42.23,0.52,34.99
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:10:00,24.47,1.47,43.64,0.39,34.24
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:10:00,23.78,1.74,39.5,0.66,37.41
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:10:00,22.41,1.3,43.6,0.67,36.35
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:12:00,21.92,1.66,42.64,0.65,50.25
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:12:00,20.83,0.71,42.37,0.36,36.4
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:12:00,25.46,1.32,40.69,0.49,34.7
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:12:00,15.63,1.46,44.0,0.59,34.01
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:12:00,23.45,1.57,44.86,0.64,33.62
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:12:00,21.52,1.47,45.79,0.59,32.89
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:12:00,20.29,0.1,43.33,0.43,32.53
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:12:00,16.98,0.69,43.81,0.44,31.5
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:12:00,23.44,1.15,43.54,0.75,34.98
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:12:00,19.01,1.28,43.68,0.55,32.13
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:12:00,26.21,1.11,41.86,0.64,37.06
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:12:00,23.7,1.16,44.04,0.96,37.78
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:12:00,24.92,0.68,50.18,0.46,34.26
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:12:00,20.81,2.33,43.52,0.42,35.54
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:12:00,24.55,1.17,40.23,0.53,34.13
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:12:00,22.97,1.04,44.15,0.49,31.54
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:14:00,24.62,2.52,46.37,0.55,50.48
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:14:00,26.05,1.1,42.37,0.97,34.79
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:14:00,21.41,1.43,43.81,0.48,34.5
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:14:00,19.36,1.19,46.41,0.75,34.81
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:14:00,20.06,1.17,44.75,0.55,37.9
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:14:00,18.74,1.18,46.14,0.33,37.38
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:14:00,17.31,1.3,42.31,0.76,28.69
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:14:00,17.11,1.01,42.73,0.5,34.56
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:14:00,19.31,1.11,40.96,0.67,36.16
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:14:00,27.16,0.96,42.02,0.64,34.41
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:14:00,22.71,0.42,43.4,0.5,33.09
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:14:00,18.1,2.05,42.37,0.81,35.54
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:14:00,17.75,0.7,44.17,0.52,32.82
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:14:00,22.33,1.25,40.63,0.59,34.04
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:14:00,15.09,1.66,41.03,0.83,32.7
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:14:00,18.12,2.07,39.48,0.54,36.19
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:16:00,23.89,1.93,40.61,0.65,50.52
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:16:00,25.44,1.34,44.17,0.91,35.21
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:16:00,26.5,0.83,43.81,0.77,33.5
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:16:00,26.12,0.95,41.02,0.63,38.86
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:16:00,23.75,1.91,41.17,0.65,32.65
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:16:00,21.11,1.85,42.55,0.85,34.6
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:16:00,22.23,2.12,41.33,0.41,37.6
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:16:00,24.07,0.05,42.72,0.57,38.49
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:16:00,20.64,1.0,40.81,0.48,33.6
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:16:00,18.52,0.73,39.42,0.41,31.88
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:16:00,21.26,0.94,40.18,0.71,34.9
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:16:00,21.53,1.07,45.82,0.67,35.95
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:16:00,15.07,0.96,38.29,0.57,35.75
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:16:00,20.8,1.66,40.59,0.72,31.89
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:16:00,22.04,1.6,43.7,0.62,38.88
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:16:00,21.58,1.08,37.11,0.9,34.26
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:18:00,26.08,2.38,45.01,0.74,49.95
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:18:00,18.45,1.94,41.92,0.63,33.84
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:18:00,21.61,1.49,40.57,0.65,35.49
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:18:00,22.55,0.9,44.18,0.92,33.8
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:18:00,26.49,1.88,37.3,0.52,33.73
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:18:00,25.13,1.46,43.56,0.73,33.2
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:18:00,20.55,0.61,42.27,0.62,35.34
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:18:00,20.6,1.89,44.45,0.87,36.42
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:18:00,23.34,1.75,43.83,0.54,37.58
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:18:00,27.94,2.53,42.68,0.68,35.83
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:18:00,22.78,1.72,42.37,0.61,38.52
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:18:00,23.28,1.39,44.38,0.66,35.58
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:18:00,22.6,0.62,42.55,0.46,35.42
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:18:00,19.24,1.9,44.11,0.68,34.8
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:18:00,24.04,0.17,40.42,0.61,35.69
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:18:00,22.55,0.75,42.88,0.57,32.86
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:20:00,23.43,0.55,43.91,0.57,50.43
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:20:00,22.23,1.48,41.82,0.84,36.87
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:20:00,24.2,0.64,40.39,0.53,34.51
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:20:00,24.09,0.81,44.95,0.64,30.97
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:20:00,21.32,0,41.09,0.55,33.78
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:20:00,21.78,1.11,41.4,0.86,37.43
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:20:00,19.33,2.1,39.35,0.51,38.05
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:20:00,16.03,1.69,40.08,0.61,34.64
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:20:00,27.84,0.86,42.45,0.73,34.5
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:20:00,20.28,1.31,42.78,0.77,33.11
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:20:00,21.4,1.54,42.26,0.61,34.97
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:20:00,20.66,0.87,43.47,0.47,37.33
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:20:00,23.4,0.58,43.16,0.66,36.52
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:20:00,26.23,1.13,41.18,0.54,33.04
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:20:00,20.51,1.52,42.62,0.56,33.52
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:20:00,23.79,1.04,40.51,0.61,34.47
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:22:00,19.7,1.44,42.84,0.51,49.77
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:22:00,18.89,1.57,42.16,0.7,33.76
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:22:00,19.62,0.96,41.21,0.71,34.04
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:22:00,25.0,1.7,44.65,0.77,36.57
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:22:00,25.03,1.03,42.05,0.36,35.58
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:22:00,20.7,1.58,43.63,0.43,32.97
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:22:00,21.67,1.03,42.91,0.46,35.09
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:22:00,17.65,0.05,44.01,0.44,33.88
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:22:00,18.46,0.5,41.78,0.57,36.97
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:22:00,24.07,1.19,44.09,0.8,35.82
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:22:00,21.5,1.95,46.11,0.73,38.54
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:22:00,25.5,1.85,40.39,0.47,34.9
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:22:00,17.71,0.99,44.31,0.53,36.07
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:22:00,18.66,1.05,44.62,0.67,35.58
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:22:00,27.83,2.12,40.82,0.83,33.77
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:22:00,22.66,1.35,44.72,0.46,35.9
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:24:00,21.7,0.58,45.03,0.72,50.67
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:24:00,18.36,1.05,40.31,0.54,33.33
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:24:00,20.84,1.78,43.14,0.73,37.18
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:24:00,21.57,1.39,43.63,0.89,36.8
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:24:00,26.83,1.95,44.67,0.37,36.76
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:24:00,23.32,1.37,41.5,0.57,35.83
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:24:00,25.2,0.44,42.99,0.55,33.1
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:24:00,23.86,1.14,41.24,0.52,35.56
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:24:00,22.65,0.69,40.87,0.61,35.81
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:24:00,19.54,1.63,40.91,1.04,33.12
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:24:00,20.31,1.46,40.75,0.76,38.6
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:24:00,21.52,1.44,41.52,0.63,37.86
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:24:00,25.37,0.8,45.65,0.81,35.97
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:24:00,20.71,1.38,40.96,0.7,34.37
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:24:00,15.98,1.9,42.94,0.8,34.73
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:24:00,23.25,2.01,43.33,0.68,41.43
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:26:00,25.23,1.06,42.8,0.8,50.87
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:26:00,23.03,1.36,43.65,0.45,36.19
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:26:00,22.84,1.96,42.1,0.58,35.74
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:26:00,22.48,0.63,42.15,0.82,34.81
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:26:00,20.04,1.77,38.83,0.32,34.99
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:26:00,23.2,1.47,40.75,0.61,32.2
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:26:00,23.31,0.37,42.24,0.67,31.49
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:26:00,21.09,1.81,45.64,0.41,35.68
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:26:00,18.95,0.53,45.73,0.73,33.39
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:26:00,23.31,1.72,42.9,0.97,36.21
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:26:00,13.67,1.16,41.07,0.6,35.03
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:26:00,20.7,0.69,45.27,0.72,33.66
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:26:00,24.69,1.74,45.07,0.48,36.56
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:26:00,20.83,2.03,42.15,0.29,35.07
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:26:00,17.3,1.21,42.42,0.57,32.03
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:26:00,19.31,0.83,42.04,0.83,36.42
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:28:00,24.82,0.59,41.4,0.48,49.95
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:28:00,26.29,0.68,41.42,0.46,36.73
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:28:00,22.63,1.63,42.31,0.46,33.05
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:28:00,25.14,1.3,44.07,0.16,37.22
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:28:00,21.14,2.64,41.5,0.64,36.32
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:28:00,20.0,1.86,41.23,0.83,36.59
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:28:00,24.11,0.9,42.1,0.68,30.93
